sentence,class
Investigate particulars relating to a primary care physician.,view_primary_care_physician_details
Discover particulars regarding a primary care physician.,view_primary_care_physician_details
Check out the particulars relating to a primary care physician.,view_primary_care_physician_details
Research the facts about a primary care physician.,view_primary_care_physician_details
Inspect data associated with a primary care physician.,view_primary_care_physician_details
Uncover information about a primary care physician.,view_primary_care_physician_details
Look into particulars relative to a primary care physician.,view_primary_care_physician_details
Ferret out the facts of a primary care physician.,view_primary_care_physician_details
Find out information concerning a primary care physician.,view_primary_care_physician_details
Delve into specifics of a primary care physician.,view_primary_care_physician_details
Scrutinize the details of a primary care physician.,view_primary_care_physician_details
Pry into the details of a primary care physician.,view_primary_care_physician_details
Ascertain information on a primary care physician.,view_primary_care_physician_details
Hunt down facts of a primary care physician.,view_primary_care_physician_details
Learn the information of a primary care physician.,view_primary_care_physician_details
Examine information on a primary care physician.,view_primary_care_physician_details
Scan documentation pertaining to a primary care physician.,view_primary_care_physician_details
Review documentation concerning a primary care physician.,view_primary_care_physician_details
Browse over information of a primary care physician.,view_primary_care_physician_details
Check out particulars of a primary care physician.,view_primary_care_physician_details
Trace the particulars of a primary care physician.,view_primary_care_physician_details
Glean facts of a primary care physician.,view_primary_care_physician_details
Analyse the particulars about a primary care physician.,view_primary_care_physician_details
Take a look at the particulars of a primary care physician.,view_primary_care_physician_details
Expose information of a primary care physician.,view_primary_care_physician_details
Appraise the specifics of a primary care physician.,view_primary_care_physician_details
Root out particulars relative to a primary care physician.,view_primary_care_physician_details
Reconnoitre information of a primary care physician.,view_primary_care_physician_details
Perceive details associated with a primary care physician.,view_primary_care_physician_details
Gather details relating to a primary care physician.,view_primary_care_physician_details
Interpret the particulars of a primary care physician.,view_primary_care_physician_details
View the characteristics of a primary care physician.,view_primary_care_physician_details
Inspect the facts related to a primary care physician.,view_primary_care_physician_details
Consider the information concerning a primary care physician.,view_primary_care_physician_details
Deliberate over the particulars of a primary care physician.,view_primary_care_physician_details
Assess the information regarding a primary care physician.,view_primary_care_physician_details
Scrutinize the facts about a primary care physician.,view_primary_care_physician_details
Search for the facts concerning a primary care physician.,view_primary_care_physician_details
Probe the particulars on a primary care physician.,view_primary_care_physician_details
Look into the particulars of a primary care physician.,view_primary_care_physician_details
Analyze the facts of a primary care physician.,view_primary_care_physician_details
Examine the specifics of a primary care physician.,view_primary_care_physician_details
Unearth the details on a primary care physician.,view_primary_care_physician_details
Follow up the particulars of a primary care physician.,view_primary_care_physician_details
Seek out the details of a primary care physician.,view_primary_care_physician_details
Pick out the facts of a primary care physician.,view_primary_care_physician_details
Rummage through documentation with respect to a primary care physician.,view_primary_care_physician_details
Commandeer the information with reference to a primary care physician.,view_primary_care_physician_details
Come across the particulars of a primary care physician.,view_primary_care_physician_details
Review the particulars of a primary care physician.,view_primary_care_physician_details
