sentence,class
Got any phone numbers?,find_phone_numbers
Who's got phone numbers?,find_phone_numbers
Who's got digits?,find_phone_numbers
Who's packin' the phone numbers?,find_phone_numbers
Need any phone numbers?,find_phone_numbers
Hook me up with some phone numbers?,find_phone_numbers
Know any phone numbers?,find_phone_numbers
Gimme the phone numbers?,find_phone_numbers
Got the goods - phone numbers?,find_phone_numbers
Show me some phone numbers?,find_phone_numbers
Pass me the phone numbers?,find_phone_numbers
Got phone numbers I can use?,find_phone_numbers
Anybody got phone numbers?,find_phone_numbers
Spill some phone numbers?,find_phone_numbers
Hit me with some phone numbers?,find_phone_numbers
Throw me some phone numbers?,find_phone_numbers
Got the digits?,find_phone_numbers
Got mo' phone numbers?,find_phone_numbers
Any digits to share?,find_phone_numbers
Got any contact info?,find_phone_numbers
Got someone's digits?,find_phone_numbers
Share the digits?,find_phone_numbers
Anyone got a numba?,find_phone_numbers
Pass the numbas?,find_phone_numbers
Any phone numbers?,find_phone_numbers
Hook a brotha up with some digits?,find_phone_numbers
Gimme the phone numbers?,find_phone_numbers
Whatchu got in the cell phone?,find_phone_numbers
Whobody got the digits?,find_phone_numbers
Need to get digits?,find_phone_numbers
Who gonna share the digits?,find_phone_numbers
Let me get some phone numbers?,find_phone_numbers
Got the phone numbers?,find_phone_numbers
Pass me the phone numbers?,find_phone_numbers
Need some phone numbers?,find_phone_numbers
Know of any digits?,find_phone_numbers
Got the phone numbers somebody's lookin' for?,find_phone_numbers
Spit out the digits?,find_phone_numbers
Anybody got digits?,find_phone_numbers
Got phone numbers?,find_phone_numbers
Gimme digits?,find_phone_numbers
Looking for digits?,find_phone_numbers
Let's get the digits?,find_phone_numbers
Gonna get the digits?,find_phone_numbers
Got the digits?,find_phone_numbers
Get me the numbers?,find_phone_numbers
Share the numbers?,find_phone_numbers
Got the digits I need?,find_phone_numbers
Show me phone numbers?,find_phone_numbers
Know any phone numbers?,find_phone_numbers
Got digits to spare?,find_phone_numbers
Need numbers?,find_phone_numbers
Where can I get phone numbers?,find_phone_numbers
Got digits I can use?,find_phone_numbers
Album got phone numbers?,find_phone_numbers
Got somebody's digits?,find_phone_numbers
Lookin' for phone numbers?,find_phone_numbers
Got digits to go?,find_phone_numbers
Gimme some digits?,find_phone_numbers
Gonna grab the digits?,find_phone_numbers
"Numbers, numbers?",find_phone_numbers
Need to get the numbers?,find_phone_numbers
Let me hit you up with some digits?,find_phone_numbers
Does anyone have phone numbers?,find_phone_numbers
Get the digits?,find_phone_numbers
Where can I find phone numbers?,find_phone_numbers
Can I get a number?,find_phone_numbers
Give me some digits?,find_phone_numbers
Got somebody's number?,find_phone_numbers
Pass on the numbers?,find_phone_numbers
Hook me up with some phone numbers?,find_phone_numbers
"Digits, digits?",find_phone_numbers
Pass the phone numbers?,find_phone_numbers
Show me the numbers?,find_phone_numbers
Got digits I gotta have?,find_phone_numbers
Who's packin' the numbers?,find_phone_numbers
Exchange some digits?,find_phone_numbers
Lookin' for contact info?,find_phone_numbers
Fill me in on the digits?,find_phone_numbers
Any phone numbers around?,find_phone_numbers
Got somebody's number?,find_phone_numbers
Know some numbers?,find_phone_numbers
Know any digits?,find_phone_numbers
Hand me the phone numbers?,find_phone_numbers
Got digits for all?,find_phone_numbers
Anybody got numbers?,find_phone_numbers
Got the numbas?,find_phone_numbers
Got those digits?,find_phone_numbers
Gimme the digits?,find_phone_numbers
Spit out some digits?,find_phone_numbers
Where can I find digits?,find_phone_numbers
Dig out the digits?,find_phone_numbers
Got the digits and stuff?,find_phone_numbers
Need someone's digits?,find_phone_numbers
Anybody got digits?,find_phone_numbers
Any phone numbers out there?,find_phone_numbers
Who got the numbers?,find_phone_numbers
Gonna get the numbers?,find_phone_numbers
Who's got the digits?,find_phone_numbers
Tell me the digits?,find_phone_numbers
Might I inquire after any phone numbers?,find_phone_numbers
Might it be possible to obtain the phone numbers?,find_phone_numbers
Is there a way to gain access to phone numbers?,find_phone_numbers
I wonder if I can locate phone numbers?,find_phone_numbers
Do you have any phone numbers I could take a look at?,find_phone_numbers
Do you know where I could find some phone numbers?,find_phone_numbers
"I was hoping to locate some phone numbers, do you know where I could look?",find_phone_numbers
Are there any phone numbers that I can access?,find_phone_numbers
Is there a way I could get access to any phone numbers?,find_phone_numbers
Do you know if I can obtain any phone numbers?,find_phone_numbers
Have you got any phone numbers I can examine?,find_phone_numbers
Are there any phone numbers I might be able to acquire?,find_phone_numbers
Do you know of any phone numbers I could use?,find_phone_numbers
I seek to discover if there are any phone numbers obtainable?,find_phone_numbers
I am trying to find out if there are any phone numbers available?,find_phone_numbers
Can you inform me as to whether there are any phone numbers available?,find_phone_numbers
Am I able to discover any phone numbers?,find_phone_numbers
Is it feasible to obtain any phone numbers?,find_phone_numbers
Do you have any knowledge of any phone numbers I might access?,find_phone_numbers
Can you direct me to where I might uncover any phone numbers?,find_phone_numbers
I am attempting to determine the existence of any phone numbers?,find_phone_numbers
I am wondering if I can uncover any phone numbers?,find_phone_numbers
Could I perhaps find any phone numbers?,find_phone_numbers
Is there a way for me to find any phone numbers?,find_phone_numbers
I am looking to ascertain the availability of any phone numbers?,find_phone_numbers
I am attempting to find out if there are any phone numbers present?,find_phone_numbers
Could you possibly provide me with some phone numbers?,find_phone_numbers
Is it conceivable to find phone numbers?,find_phone_numbers
Is there any way to come across phone numbers?,find_phone_numbers
Is there a possibility to secure phone numbers?,find_phone_numbers
Have you got any phone numbers available?,find_phone_numbers
Would you happen to know of any phone numbers?,find_phone_numbers
Would it be at all possible to locate phone numbers?,find_phone_numbers
Can you tell me of any phone numbers I can access?,find_phone_numbers
Could you potentially provide me with any phone numbers?,find_phone_numbers
Is it plausible to have any phone numbers?,find_phone_numbers
Is it within the realm of possibility to come into possession of any phone numbers?,find_phone_numbers
I was wondering if any phone numbers exist?,find_phone_numbers
May I ascertain any phone numbers?,find_phone_numbers
"I am in search of any phone numbers, do you know if any are available?",find_phone_numbers
